stn,river,zone,habitat,sampler,site,diversity,richness,j,abundance,texture,text,river_chr,S_TP,S_TN,S_TOC,S_moist,S_pH,length,width,r_width,elev,Pebble,granule,v_course_sand,course_sand,medium_sand,fine_sand,v_fine_sand,silt_clay,     d
BR2,Ba,UP,Rapid,Surber,S2,0.55,4,0.2767,1133,-0.139,-0.132,0.06,1024,32.82,1.41,19.02,8.43,215.412,13.123,9.83,613,4.05,18.33,23.53,25.9,15.6,7.35,2.16,1.58,0.4266
BP2,Ba,UP,Pool,Grab,S2,0.46,2,0.4612,2733,-0.114,-0.107,0.07,867,31.69,1.69,20.67,8.27,116.696,12.473,18.45,615,0,5.73,21.54,46.44,15.75,5.42,2.36,2.75,0.1264
BB2,Ba,UP,Bench,Qudrant,S2,2.34,8,0.78,928,-0.054,-0.088,0.06,1309,37.51,3.89,20.72,8.37,97.487,23.5,11,613,2.11,3.96,9.39,25.25,27.44,20.99,5.58,3.92,1.024
BR3,Ba,UP,Rapid,Surber,S3,2.24,11,0.6476,3411,-0.11,-0.074,0.07,883,23.08,3.06,16.42,8.33,74.362,12.756,30.39,605,6.62,31.38,35.61,18.52,3.21,1.48,0.73,1.01,1.229
BP3,Ba,UP,Pool,Grab,S3,1.25,3,0.7897,1200,-0.13,-0.105,0.07,1104,74.81,2.79,15.34,8.4,79.129,19.462,27.5,604,24.02,21.07,20.24,17.42,8.64,4.43,1.51,1.43,0.2821
BB3,Ba,UP,Bench,Qudrant,S3,1.68,6,0.6484,3328,-0.134,-0.119,0.07,892,16.78,1,18.76,8.42,54.798,6.926,16.38,605,9.01,16.87,24.58,25.47,8.69,6.16,3.99,3.76,0.6165
BR4,Ba,MID,Rapid,Surber,S4,1.6,4,0.8,878,-0.119,-0.11,0.07,847,43.4,2.24,16.21,6.82,91.2,19.1,51.18,536,8.92,5.72,21.37,43.1,13.76,4.2,0.91,0.67,0.4426
BP4,Ba,MID,Pool,Grab,S4,1,2,1,100,-0.132,-0.118,0.04,763,65.23,1.96,15.81,7.62,30.1,7.44,47.4,535,3.84,20.19,32.91,32.55,7.21,1.43,0.37,0.36,0.2171
BB4,Ba,MID,Bench,Qudrant,S4,2.32,7,0.8277,928,-0.136,-0.128,0.05,1053,98.75,1.14,19.52,7.42,41.5,11.2,56.75,535,0.76,16.94,17.56,26.87,14.9,8.82,4.78,6.7,0.8781
BR5,Ba,MID,Rapid,Surber,S5,2.32,10,0.6996,1289,-0.134,-0.126,0.06,865,30.19,1.96,17.21,8.41,51.5,27.7,45.17,535,15.02,14.74,16.29,31.3,12.26,5.97,1.37,1.12,1.257
BR6,Ba,MID,Rapid,Surber,S6,2.15,12,0.5982,10645,-0.125,-0.116,0.07,826,24.24,0.87,19.87,8.04,142,12.5,20.52,533,0.14,4.33,10.36,11.17,5.42,3.6,2.13,2.48,1.186
BP6,Ba,MID,Pool,Grab,S6,1.93,7,0.6879,5800,-0.118,-0.104,0.06,966,58.77,0.32,18.27,8.61,19.3,6.89,20.6,533,0.22,5.29,34.3,47.61,8.29,1.96,0.57,0.5,0.6924
BB6,Ba,MID,Bench,Qudrant,S6,1.59,5,0.685,320,-0.133,-0.114,0.03,2796,70.92,0.87,23.94,8.12,8.86,3.1,24.3,533,0.53,21.18,17.44,21.07,13.01,9.73,6.09,7.97,0.6934
BR7,Ba,DOWN,Rapid,Surber,S7,1.82,9,0.5724,1944,-0.11,-0.072,0.07,601,40.1,1.69,12.75,7.85,111.676,14.43,46.75,443,26.99,25.14,18.03,13.78,5.26,3.15,2.56,1.93,1.056
BP7,Ba,DOWN,Pool,Grab,S7,0.77,3,0.4885,950,-0.086,-0.1,0.06,1379,121.77,0.87,22.24,7.97,47.526,8.993,45.82,443,0,0.32,4.91,58.08,22.05,7.88,1.84,2.67,0.2917
BB7,Ba,DOWN,Bench,Qudrant,S7,0.95,2,0.9544,256,-0.136,-0.127,0.07,1237,42.22,0.04,25.35,7.92,82.189,25.775,50.47,442,3.21,14.63,17.99,24.85,14.23,8.54,5.65,7.05,0.1803
BR8,Ba,DOWN,Rapid,Surber,S8,1.91,7,0.6814,2333,-0.139,-0.125,0.04,552,37.63,0.04,21.31,8.12,85.553,9.705,142.72,440,29.97,12.63,14.88,18.55,8.54,5.46,2.99,3.61,0.7737
BP8,Ba,DOWN,Pool,Grab,S8,0.62,3,0.3899,1700,-0.111,-0.098,0.04,702,63.55,1.96,17.85,7.92,85.594,10.214,142.1,441,0.12,3.73,28.31,58.48,5.54,0.8,0.63,1.27,0.2689
BB8,Ba,DOWN,Bench,Qudrant,S8,0.67,3,0.4218,512,-0.114,-0.109,0.02,921,23.05,0.73,16.44,7.93,23.3,6,134.72,441,0.74,5.56,18.94,51.31,17.47,3.75,0.76,0.39,0.3206
BR9,Ba,DOWN,Rapid,Surber,S9,2.67,16,0.6676,6411,-0.131,-0.106,0.07,531,32.93,5.26,22.91,8.21,83.153,22.367,44.29,437,25.24,18.51,15.99,16.9,8,5.72,3.41,3.37,1.711
BP9,Ba,DOWN,Pool,Grab,S9,1.61,5,0.6953,4700,-0.127,-0.112,0.07,307,26.23,1.96,15.63,8.27,106.252,18.652,28.26,437,14.54,12.89,21.11,39.96,7.26,1.33,0.65,1.04,0.4731
BB9,Ba,DOWN,Bench,Qudrant,S9,2.97,11,0.8572,960,-0.136,-0.123,0.07,1440,114.86,1.41,12.86,7.82,125.918,27.442,54.06,438,21.11,14.5,19.66,29.65,9.55,2.42,0.99,1.03,1.456
JR1,Jing,UP,Rapid,Surber,S1,2.43,10,0.7314,3222,-0.042,-0.011,0.07,310,9.86,0.87,6.97,8.65,190.693,5.56,35.23,1318,60.15,14.87,5.11,3.39,2.91,4.65,3.19,3.65,1.114
